"title","pub_year","citation","author","conference","pages","publisher","url"
"Defeating smart and reactive jammers with unlimited power","2020","2020 IEEE Wireless Communications and Networking Conference (WCNC), 1-6, 2020","Nguyen Van Huynh, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz, Markus Mueck","2020 IEEE Wireless Communications and Networking Conference (WCNC)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/9120650/"
"Energy efficiency maximization for heterogeneous networks: A joint linear precoder design and small-cell switching-off approach","2016","2016 IEEE global conference on signal and information processing (GlobalSIP …, 2016","Long D. Nguyen, Trung Q. Duong, Diep N. Nguyen, Le-Nam Tran","2016 IEEE global conference on signal and information processing (GlobalSIP)","718-722","IEEE","https://ieeexplore.ieee.org/abstract/document/7905936/"
"Price-based friendly jamming in a MISO interference wiretap channel","2016","IEEE INFOCOM 2016-The 35th Annual IEEE International Conference on Computer …, 2016","Peyman Siyari, Marwan Krunz, Diep N. Nguyen","IEEE INFOCOM 2016-The 35th Annual IEEE International Conference on Computer Communications","1-9","IEEE","https://ieeexplore.ieee.org/abstract/document/7524447/"
"Power-efficient spatial multiplexing for multiantenna MANETs","2012","2012 IEEE International Conference on Communications (ICC), 4016-4020, 2012","Diep N. Nguyen, Marwan Krunz","2012 IEEE International Conference on Communications (ICC)","4016-4020","IEEE","https://ieeexplore.ieee.org/abstract/document/6364068/"
"A stochastic programming approach for risk management in mobile cloud computing","2018","2018 IEEE Wireless Communications and Networking Conference (WCNC), 1-6, 2018","Dinh Thai Hoang, Dusit Niyato, Ping Wang, Shaun Shuxun Wang, Diep Nguyen, Eryk Dutkiewicz","2018 IEEE Wireless Communications and Networking Conference (WCNC)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/8377035/"
"Blockchain and stackelberg game model for roaming fraud prevention and profit maximization","2020","2020 IEEE Wireless Communications and Networking Conference (WCNC), 1-6, 2020","Cong T. Nguyen, Diep N. Nguyen, Dinh Thai Hoang, Hoang-Anh Pham, Nguyen Huynh Tuong, Eryk Dutkiewicz","2020 IEEE Wireless Communications and Networking Conference (WCNC)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/9120505/"
"Energy management and time scheduling for heterogeneous IoT wireless-powered backscatter networks","2019","ICC 2019-2019 IEEE International Conference on Communications (ICC), 1-6, 2019","Ngoc-Tan Nguyen, Nguyen Van Huynh, Dinh Thai Hoang, Diep N. Nguyen, Nam-Hoang Nguyen, Quoc-Tuan Nguyen, Eryk Dutkiewicz","ICC 2019-2019 IEEE International Conference on Communications (ICC)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/8761314/"
"Wearable healthcare systems: A single channel accelerometer based anomaly detector for studies of gait freezing in parkinson's disease","2017","2017 IEEE International Conference on Communications (ICC), 1-5, 2017","Thuy T. Pham, Diep N. Nguyen, Eryk Dutkiewicz, Alistair L. McEwan, Philip HW Leong","2017 IEEE International Conference on Communications (ICC)","1-5","IEEE","https://ieeexplore.ieee.org/abstract/document/7997415/"
"An anomaly detection technique in wearable wireless monitoring systems for studies of gait freezing in Parkinson's disease","2017","2017 International Conference on Information Networking (ICOIN), 41-45, 2017","Thuy T. Pham, Diep N. Nguyen, Eryk Dutkiewicz, Alistair L. McEwan, Philip HW Leong","2017 International Conference on Information Networking (ICOIN)","41-45","IEEE","https://ieeexplore.ieee.org/abstract/document/7899471/"
"Recommendation system for Facebook public events based on probabilistic classification and re-ranking","2016","2016 Eighth International Conference on Knowledge and Systems Engineering …, 2016","Dien L. Nguyen, Tung M. Le","2016 Eighth International Conference on Knowledge and Systems Engineering (KSE)","133-138","IEEE","https://ieeexplore.ieee.org/abstract/document/7758042/"
"Comparison user engagement of gamified and non-gamified augmented reality assembly training","2020","Advances in Agile and User-Centred Software Engineering: Third International …, 2020","Diep Nguyen, Gerrit Meixner","Advances in Agile and User-Centred Software Engineering: Third International Conference on Lean and Agile Software Development, LASD 2019, and 7th Conference on Multimedia, Interaction, Design and Innovation, MIDI 2019, Leipzig, Germany, September 1–4, 2019, Revised Selected Papers 3","142-152","Springer International Publishing","https://link.springer.com/chapter/10.1007/978-3-030-37534-8_8"
"The impact on full duplex D2D communication of different LTE transmission techniques","2017","2017 IEEE 85th Vehicular Technology Conference (VTC Spring), 1-5, 2017","Noman Haider, Eryk Dutkiewicz, Diep N. Nguyen, Markus Mueck, Srikathyayani Srikanteswarae","2017 IEEE 85th Vehicular Technology Conference (VTC Spring)","1-5","IEEE","https://ieeexplore.ieee.org/abstract/document/8108511/"
"Massive MIMO for tactical ad-hoc networks in RF contested environments","2019","MILCOM 2019-2019 IEEE Military Communications Conference (MILCOM), 658-663, 2019","Asanka Kekirigoda, Kin-Ping Hui, Qingqing Cheng, Zhipeng Lin, J. Andrew Zhang, Diep N. Nguyen, Xiaojing Huang","MILCOM 2019-2019 IEEE Military Communications Conference (MILCOM)","658-663","IEEE","https://ieeexplore.ieee.org/abstract/document/9020756/"
"Real-time crowdsourcing incentive for radio environment maps: A dynamic pricing approach","2018","2018 IEEE Global Communications Conference (GLOBECOM), 1-6, 2018","Huiyang Wang, Diep N. Nguyen, Dinh Thai Hoang, Eryk Dutkiewicz, Qingqing Cheng","2018 IEEE Global Communications Conference (GLOBECOM)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/8647268/"
"Blockchain-based secure platform for coalition loyalty program management","2021","2021 IEEE Wireless Communications and Networking Conference (WCNC), 1-6, 2021","Cong T. Nguyen, Dinh Thai Hoang, Diep N. Nguyen, Hoang-Anh Pham, Nguyen Huynh Tuong, Eryk Dutkiewicz","2021 IEEE Wireless Communications and Networking Conference (WCNC)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/9417501/"
